Site Name,Address,City,Zip Code,Days & Hours of Operation,Notes
A C Bilbrew Library,150 E El Segundo Blvd,Los Angeles,90061,"Monday-Thursday: 10 am - 8 pm; Friday-Saturday: 10 am - 6 pm",
Acton/Agua Dulce Library,33792 Crown Valley Road,Acton,93510,"Monday-Thursday: 10 am - 8 pm; Friday-Saturday: 10 am - 6 pm",
Adventure Park,10130 Gunn Avenue,Whittier,90605,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",
Agoura Hills Library,29901 Ladyface Court,Agoura Hills,91301,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
Alexander Hughes Community Center,1700 Danbury Road,Claremont,91711,"Monday-Thursday: 9 am - 9 pm; Friday: 9 am - 6 pm; Saturday: 9 am - 2 pm; Sunday: Closed",Contact: (909) 399-5490
Alhambra AJCC,2550 W. Main Street Suite 101,Alhambra,91801,"Monday-Thursday: 9 am - 12 pm, 1:30 pm - 5 pm; Closed Fridays",Alhambra Chamber of Commerce
Alondra Community Regional Park,3850 Manhattan Beach Boulevard,Lawndale,90260,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",
Alondra Library,11949 Alondra Boulevard,Norwalk,90650,"Monday: 10 am - 6 pm; Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Friday: 10 am - 6 pm",
Amelia Mayberry Park,13201 Meyer Road,Whittier,90605,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Angeles Mesa Branch Library,2700 W. 52nd Street,Los Angeles,90043,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm",Contact: 323-292-4328
Angelo M Iacoboni Library,4990 Clark Avenue,Lakewood,90712,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
Antelope Valley Comprehensive AJCC,1420 West Avenue I,Lancaster,93534,"Monday-Friday: 8 am - 5 pm",
Antelope Valley Senior Center,777 W. Jackman Street,Lancaster,93534,"Monday-Friday: 8 am - 5 pm",
Arroyo Seco Regional Library,6145 N. Figueroa Street,Los Angeles,90042,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm",Contact: 323-759-4817
Artesia Library,18801 Elaine Avenue,Artesia,90701,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
Ascot Branch Library,120 W. Florence Avenue,Los Angeles,90003,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm",Contact: 323-759-4817
Asian Community Center,14112 S. Kingsley Drive,Gardena,90249,"Monday-Friday: 8 am - 5 pm",
Atwater Village Branch Library,3379 Glendale Boulevard,Los Angeles,90039,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm",Contact: 209-358-6651
Avalon Library,215 Sumner Avenue,Avalon,90704,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
Baldwin Hills Branch Library,2906 S. La Brea Avenue,Los Angeles,90016,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-664-6418
Baldwin Park Library,4181 Baldwin Park Boulevard,Baldwin Park,91706,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
Bartlett Senior Center,1318 Cravens Avenue,Torrance,90501,"Monday-Friday: 8 am - 4 pm",Contact: 310-320-5918
Buena Vista Library,300 N. Buena Vista Street,Burbank,91505,"Monday-Thursday: 10 am - 9 pm; Friday-Saturday: 10 am - 6 pm; Sunday: 1 pm - 5 pm",
Cahuenga Branch Library,4591 Santa Monica Boulevard,Los Angeles,90029,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-664-6418
Canoga Park Branch Library,20939 Sherman Way,Canoga Park,91303,"Monday-Thursday: 10 am - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: 1 pm - 5 pm",Contact: 818-887-0320
Central Library,110 N. Glenoaks Boulevard,Burbank,91502,"Monday-Thursday: 10 am - 9 pm; Friday-Saturday: 10 am - 6 pm; Sunday: Closed",
Central Library,630 W. 5th Street,Los Angeles,90071,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm",Contact: 310-575-8273
Centro Maravilla Service Center,4716 Cesar E Chavez Avenue,Los Angeles,90022,"Monday-Friday: 8 am - 5 pm",
Chatsworth Branch Library,21052 Devonshire Street,Chatsworth,91311,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 818-341-4276
Chinatown Branch Library,639 N. Hill Street,Los Angeles,90012,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 213-620-0925
City of Palmdale Legacy Commons (Seniors Only),930 E. Avenue Q-9,Palmdale,93550,"Monday-Friday: 8 am - 4 pm","Seniors Only. Contact: 661-267-5904"
City of Palmdale Library,700 E. Palmdale Blvd,Palmdale,93550,"Monday-Thursday: 10 am - 8 pm; Friday-Saturday: 10 am - 5 pm; Sunday: 1 pm - 5 pm",Contact: 661-267-5600
City Terrace Park,1126 N. Hazard Avenue,Los Angeles,90063,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Claremont Helen Renwick Library,208 N Harvard Avenue,Claremont,91711,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
Clifton M. Brakensiek Library,9945 E. Flower Street,Bellflower,90706,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
Covina AJCC,1115 E. Puente Street,Covina,91724,"Monday-Friday: 8 am - 5 pm",Charter Oak Adult School-classroom #AD1
Crenshaw Imperial Library,11141 Crenshaw Blvd,Inglewood,90303,"Monday-Thursday: 11 am - 6 pm; Friday: Closed; Saturday: 10 am - 6 pm; Sunday: Closed",Contact: 310-412-5380
Crescenta Valley Community Regional Park,3901 Dunsmore Avenue,La Crescenta,91214,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Culver City Senior Center,4095 Overland Avenue,Culver City,90232,"Monday-Friday: 9 am - 5 pm; Saturday-Sunday: 12 pm - 4 pm",
Darby Park,3400 W. Arbor Vitae Street,Inglewood,90301,"Monday-Friday: 8 am - 8 pm; Saturday: 9 am - 5 pm; Sunday: Closed",Contact: 310-412-5504
Dee Hardison Sports Center,2400 Jefferson Street,Torrance,90501,"Monday-Friday: 9 am - 10 pm; Saturday: 8 am - 7 pm; Sunday: 12 pm - 7 pm",
