Region,ID,FIPS,Latitude,Longitude,LCPx,LCPy,UHII, DegHourDay 
Antioch,438,6013302005,37.9993,-121.7329,-105488.5,108978,3319.7, 18.2 
Antioch,439,6013302006,38.0134,-121.7178,-104168.4,110477.9,1819.9, 10.0 
Antioch,440,6013302007,37.9837,-121.7057,-103181.1,107257.8,3918, 21.5 
Antioch,441,6013302008,37.9872,-121.6703,-100147.6,107589,2599.1, 14.3 
Antioch,442,6013302009,37.9715,-121.7479,-106817.9,105996.3,6411.6, 35.2 
Antioch,443,6013302010,37.9837,-121.7305,-105309.6,107287.9,4745, 26.1 
Antioch,444,6013303102,37.9578,-121.7075,-103379.2,104456.1,5878.1, 32.3 
Antioch,445,6013303103,37.9366,-121.6661,-99866.3,102113.8,4509.3, 24.8 
Antioch,446,6013303201,37.9431,-121.7587,-107788.6,102937.3,8318.1, 45.7 
Antioch,447,6013303202,37.9422,-121.7148,-104034.2,102783.9,6741.6, 37.0 
Antioch,448,6013303203,37.9471,-121.7321,-105507.4,103336.7,7218.2, 39.7 
Antioch,449,6013303204,37.929,-121.7089,-103548,101341.7,6736.4, 37.0 
Antioch,450,6013303205,37.9109,-121.7021,-102996.3,99381.6,6397.6, 35.2 
Antioch,453,6013304003,37.9043,-121.5845,-92928.5,98522.8,3444.7, 18.9 
Antioch,454,6013304004,37.9014,-121.6092,-95046.9,98240.6,4251.6, 23.4 
Antioch,455,6013304005,37.9385,-121.606,-94719.4,102241.5,3444.9, 18.9 
Antioch,456,6013305000,38.0158,-121.8308,-113833.8,110900.4,4443.2, 24.4 
Antioch,457,6013306002,38.0091,-121.7681,-108483,110083.6,3391.2, 18.6 
Antioch,458,6013306003,38.0053,-121.7994,-111167.1,109719.2,4917.2, 27.0 
Antioch,459,6013306004,38.0086,-121.7859,-110001.6,110050.8,4003.4, 22.0 
Antioch,460,6013307101,37.9867,-121.8156,-112582.8,107723.8,7423, 40.8 
Antioch,461,6013307102,38.0005,-121.8156,-112558.7,109217.6,6046.8, 33.2 
Antioch,462,6013307201,38.0025,-121.8487,-115384.2,109488.6,6235.3, 34.3 
Antioch,463,6013307202,38.0037,-121.8278,-113597.6,109585.1,5839, 32.1 
Antioch,464,6013307204,37.9947,-121.8309,-113877,108615.2,6737.3, 37.0 
Antioch,465,6013307205,37.9908,-121.8378,-114476.5,108200.3,7175.1, 39.4 
Antioch,466,6013308001,37.9919,-121.7964,-110933.9,108261,6209, 34.1 
Antioch,467,6013308002,37.9887,-121.7666,-108385.8,107875.1,5489.4, 30.2 
Antioch,468,6013309000,38.0396,-121.8656,-116766.4,113519.3,2492.1, 13.7 
Antioch,469,6013310000,38.0265,-121.8916,-119015.9,112138.5,3914.9, 21.5 
Antioch,470,6013311000,38.0215,-121.8937,-119199.2,111598.6,3958, 21.7 
Antioch,471,6013312000,38.0151,-121.8695,-117138.7,110881.1,4787.9, 26.3 
Antioch,472,6013313101,38.0064,-121.8829,-118302.7,109958.9,5067.9, 27.8 
Antioch,473,6013313102,38.004,-121.8645,-116739.2,109671.5,5664.6, 31.1 
Antioch,475,6013313203,38.0094,-121.9234,-121759.8,110336.5,2840.5, 15.6 
Antioch,477,6013313205,38.0163,-121.9168,-121188.4,111075.4,2875.4, 15.8 
Antioch,478,6013313206,38.0139,-121.8995,-119706.7,110794.4,3894.6, 21.4 
Antioch,479,6013314102,38.0331,-121.9172,-121188.2,112888.2,2019.8, 11.1 
Antioch,480,6013314103,38.0389,-121.9446,-123518,113566.7,778, 4.3 
Antioch,481,6013314104,38.0232,-121.9443,-123523.5,111862,1653.6, 9.1 
Antioch,482,6013314200,38.048,-121.9727,-125904,114593.5,179.6, 1.0 
Antioch,574,6013355109,37.9763,-121.794,-110750.7,106572.3,7763.3, 42.7 
Antioch,575,6013355110,37.9679,-121.7693,-108652,105631.1,7430.1, 40.8 
Antioch,576,6013355111,37.9782,-121.7753,-109152.3,106751.2,6912.3, 38.0 
Bakersfield,967,6029000101,35.4412,-119.0512,128976.2,-168070.6,2727.3, 15.0 
Bakersfield,968,6029000102,35.4295,-119.0171,132038.4,-169291.3,4204.7, 23.1 
Bakersfield,969,6029000200,35.4163,-119.0361,130372,-170754.3,4352.4, 23.9 
Bakersfield,970,6029000300,35.4111,-119.0286,131043.7,-171308.3,4243.9, 23.3 
Bakersfield,971,6029000400,35.4055,-119.0334,130630.4,-171919.8,4141.4, 22.8 
Bakersfield,972,6029000503,35.43,-119.0986,124775.5,-169368.3,924.6, 5.1 
Bakersfield,973,6029000504,35.4177,-119.0737,127017.4,-170665.2,1800, 9.9 
Bakersfield,974,6029000505,35.407,-119.0834,126175.5,-171840.6,1615, 8.9 
Bakersfield,975,6029000506,35.3925,-119.0833,126211.4,-173422.7,1749.6, 9.6 
Bakersfield,976,6029000507,35.3875,-119.0631,128025,-173928.1,2493.8, 13.7 
